id,fonte,titulo,empresa,descricao,requisitos,senioridade,area,remoto,fit_percentual,url,data_coleta,area_padronizada,tam_caracteres,tam_palavras,categoria_fit
1,LinkedIn,Fraud Data Analyst - Pleno,Cora,"Das 21 milhões de empresas do Brasil, 93% são pequenos e médios negócios e, apesar de serem responsáveis por ⅓ do PIB do país e 60% dos empregos, as pequenas e médias empresas (PMEs) não são o foco da maioria das instituições financeiras.
Isso muda com a Cora, banco digital criado exclusivamente para apoiar PMES. Com 5 anos de existência, já somamos mais de 1 milhão de clientes e 300 pessoas trabalhando de forma remota em vários lugares do Brasil. ","Fluência em SQL e autonomia no uso de Python ou R para manipulação e análise de grandes bases de dados. 
Experiência com ferramentas de visualização (Looker, Tableau ou similares) para monitoramento de KPIs de risco em tempo real. 
Conhecimento em fundamentos de Machine Learning aplicados à detecção de anomalias e padrões comportamentais. 
Interesse genuíno e capacidade técnica para explorar IA (LLMs e IA Generativa) para otimizar processos analíticos e de detecção. 
Capacidade de extrair e criar variáveis (features) a partir de dados brutos de transações e comportamento para alimentar regras e modelos de risco. 
Capacidade de comunicação analítica para traduzir dados complexos em estratégias claras para liderança e parceiros de negócio. 
Raciocínio lógico aguçado e foco em resolução de problemas complexos. 
Pacote Office Avançado. ",pleno,Ciencia de Dados,sim,75,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4407603820&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,07/07/2026,Ciencia de Dados,452,80,Alto (>=60)
2,LinkedIn,Data science,hire fide,"We are hiring for one of our clients, seeking a Data Scientist to work on a contract basis. The role involves developing and deploying machine learning models to solve business problems. You will collaborate with cross-functional teams to deliver data-driven insights and solutions.","• Proficiency in Python, including libraries such as Pandas, NumPy, and Scikit-learn.
• Experience with machine learning frameworks like TensorFlow or PyTorch.
• Strong SQL skills for querying and manipulating large datasets.
• Familiarity with data visualization tools such as Matplotlib or Tableau.
• Ability to work independently and manage multiple priorities in a fast-paced environment.",junior,Ciencia de Dados,sim,60,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4436980766&distance=25&f_E=3&f_TPR=a1783092779-&geoId=107631021&keywords=Cientista%20de%20dados&location=35570-000%2C%20Formiga%2C%20Minas%20Gerais%2C%20Brasil&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=R,05/07/2026,Ciencia de Dados,282,43,Alto (>=60)
3,LinkedIn,Pessoa Cientista de Dados - Vaga afirmativa para pessoas negras,Artefact,"Nós da Artefact LatAm acreditamos e vivemos uma cultura com base na empatia!

Um ambiente de trabalho saudável é um lugar onde todas as vozes são ouvidas, respeitadas e valorizadas.

Temos como nosso compromisso a construção de um ambiente mais diverso e inclusivo, porque a empatia é para todas as pessoas, independentemente de etnia, cor, gênero, orientação sexual, identidade de gênero, deficiência ou crença religiosa.

Queremos conosco mentes e corações incríveis! Venha ser Artefact!","Ter cursado um curso de graduação em ciência de dados, aprendizado de máquina, matemática, ciência da computação, estatística, engenharia, economia ou uma área relacionada.

Desejável um primeiro conhecimento em estatística e programação (Python/R).
Curiosidade: você está sempre buscando soluções inovadoras para seus clientes, você está envolvido em toda a cadeia de valor
Colaboração: o compartilhamento de conhecimento é essencial para você e você participa ativamente da difusão de informações dentro da Artefact
Empreendedorismo: você traz soluções, novas ideias, inovações",junior,Ciencia de Dados,sim,80,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4436906037&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,04/07/2026,Ciencia de Dados,489,74,Alto (>=60)
4,LinkedIn,Cientista de Dados - Trabalho Remoto,BairesDev,"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício.


Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mundo, trabalhando remotamente em cargos de impacto global.


Ao se candidatar para este cargo, você está dando o primeiro passo em um processo que vai além do comum. Nosso objetivo é alinhar suas paixões, habilidades, e expectativas às nossas vagas, colocando você no caminho para desenvolver uma carreira de sucesso excepcional.


Cientista de Dados na BairesDev


Como Cientista de Dados na BairesDev, você irá utilizar técnicas de análise de dados e machine learning para resolver problemas complexos de negócios. Você transformará dados brutos em insights significativos, desenvolverá e implementará modelos preditivos, e colaborará com equipes multifuncionais para implementar soluções baseadas em dados que geram valor comercial e impulsionam a tomada de decisões estratégicas.
","- 3+ anos de experiência na aplicação de técnicas de ciência de dados a problemas do mundo real.
- Experiência com linguagens de programação comumente usadas em ciência de dados (Python, R, etc.).
- Conhecimento de algoritmos de machine learning e análise estatística.
- Familiaridade com ferramentas e técnicas de visualização de dados.
- Experiência com SQL e consultas de banco de dados.
- Capacidade de traduzir conceitos técnicos complexos para stakeholders não técnicos.
- Inglês avançado.
",junior,Ciencia de Dados,sim,60,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4434133377&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,05/07/2026,Ciencia de Dados,1081,161,Alto (>=60)
5,LinkedIn,ciencia de dados pricing,pricing,"A RD Saúde é uma empresa líder no mercado brasileiro de farmácias. Com as nossas marcas Raia e Drogasil, temos mais de 3.000 unidades espalhadas por todo o país e mais de 55 mil funcionários(as) empenhados(as) em cuidar de perto da saúde e bem-estar das pessoas em todos os momentos da vida.


Até 2030, queremos ser o grupo que mais contribui para uma sociedade mais saudável. Para isso, entendemos que o nosso compromisso vai além do cuidado com a saúde individual. É preciso cuidar das pessoas, dos negócios e do planeta.","• Ensino superior completo ou em andamento nas áreas de Exatas ou Tecnologia, como Estatística, Engenharia, Física, Matemática, Ciência da Computação, Sistemas de Informação ou áreas correlatas;

• Conhecimento em lógica de programação;

• Conhecimento em técnicas de aprendizado de máquina (Machine Learning);

• Experiência com análise exploratória e visualização de dados;

• Conhecimento em Python e SQL;

• Familiaridade com bibliotecas de análise, modelagem e visualização de dados, como Pandas, Scikit-learn, Matplotlib, • Seaborn e XGBoost;

• Capacidade analítica e interesse em resolver problemas por meio de dados;

• Não é necessária experiência profissional prévia, sendo consideradas experiências acadêmicas, projetos universitários, iniciação científica, trabalhos de conclusão de curso e projetos pessoais relacionados à área.

",junior,Ciencia de Dados,sim,75,https://rdsaude-corporativo.gupy.io/jobs/11578256,05/07/2026,Ciencia de Dados,524,91,Alto (>=60)
6,LinkedIn,Analista De Implantação RM TOTVS – TAA (Aprovações E Atendimentos),RM TOTVS,"Buscamos profissional com experiência em implantação, parametrização e sustentação do módulo TAA (TOTVS Aprovações e Atendimentos).
Responsabilidades:
• Atuar na implantação, parametrização, revitalização, sustentação, integração, apoio e acompanhamento do módulo TAA;
• Parametrizar e sustentar processos de alçadas e etapas de aprovações;
• Apoiar usuários e acompanhar fluxos de atendimento e aprovações;
• Garantir boas práticas na implantação e sustentação do módulo.","• Experiência com projetos de implantação no módulo TAA;
• Ensino superior completo em Sistemas de Informação, Desenvolvimento de Sistemas ou áreas correlatas;
• Vivência com parametrização e sustentação de sistemas;
• Perfil analítico, consultivo e boa comunicação.
• Experiência com RM TOTVS;
• Conhecimento em fluxos de aprovação e atendimento.",junior,analista de implementacao,nao,19,https://www.infojobs.com.br/vacancydetail.aspx?iv=11616229,05/07/2026,Fora de Area,472,62,Baixo (<30)
7,LinkedIn,Telemarketing Receptivo Área Da Saúde- BH - Manhã E Tarde,Empresa confidencial,"Se você é apaixonado por ajudar, acolher e transformar a experiência das pessoas por meio de um atendimento humanizado, essa oportunidade pode ser o próximo passo da sua carreira.
Estamos em busca de profissionais empáticos, comunicativos e com inteligência emocional para atuar no atendimento receptivo aos beneficiários de plano de saúde. Aqui, você terá um papel essencial ao oferecer suporte, orientação e soluções com respeito, cuidado e excelência em momentos que exigem sensibilidade e atenção.
Se você acredita que ouvir com atenção, compreender as necessidades das pessoas e agir com empatia faz toda a diferença, queremos conhecer você!","Ter 18 anos ou mais;
Ensino Médio completo;
Boa comunicação verbal;
Conhecimentos básicos de informática e digitação;
Inteligência emocional, empatia e facilidade para lidar com diferentes perfis de clientes;
Fácil acesso à unidade Prado – Belo Horizonte/MG.",junior,consultor de atendimentos,nao,14,https://www.infojobs.com.br/vaga-de-telemarketing-receptivo-area-da-saude-bh-manha-tarde-em-minas-gerais__11783071.aspx,05/07/2026,Fora de Area,646,98,Baixo (<30)
8,LinkedIn,analista de dados,prosa,"Se você tem perfil autônomo, gosta de transformar dados em decisões estratégicas e tem curiosidade para aplicar novas tecnologias no dia a dia, essa oportunidade pode ser para você.

Buscamos uma pessoa para ser peça-chave no nosso time de Dados, desenvolvendo nossa plataforma e consolidando uma cultura data-driven forte. "," Desenvolver, manter e otimizar dashboards, relatórios e visualizações de dados de alto impacto;
 Utilizar ferramentas de análise, modelagem e técnicas estatísticas para identificar tendências e insights acionáveis;
 Atuar com autonomia junto a equipes multidisciplinares, traduzindo dores de negócio em soluções de dados;
 Garantir a qualidade, consistência e integridade dos dados através de validações e testes rigorosos;
 Utilizar ferramentas de Inteligência Artificial generativa para otimizar fluxos de trabalho;
 Contribuir para a governança e disseminação da cultura de dados na empresa.",junior,analista de dados,sim,80,https://lnkd.in/g46YbmBJ,05/07/2026,Analista de Dados,324,49,Alto (>=60)
9,LinkedIn,suporte de tecnologia,Stefanini, área de suporte de tecnologia.,"Manutenção de hardware e softwares;
Atendimento ao usuário e suporte;
Ensino nível médio ou técnico;
CNH Ativa B;
Disponibilidade para viagens",junior,suporte de ti,nao,15,https://www.infojobs.com.br/empregos.aspx?palabra=ti&poblacion=5204780&iv=11767358,05/07/2026,Fora de Area,31,5,Baixo (<30)
10,LinkedIn,Cientista de Dados,bradesco,"A gente acredita no poder da confiança. Confiança que aproxima, orienta e transforma a vida das pessoas no dia a dia. Entrar no Bradesco é fazer parte de um momento real de transformação. Um ambiente que combina a solidez de uma história construída ao longo de décadas com a evolução constante de quem está sempre olhando para frente. Aqui, você encontra espaço para aprender, crescer e assumir protagonismo na sua trajetória, com apoio, estrutura e oportunidades que acompanham o seu desenvolvimento. Mais do que trabalhar em uma grande instituição, é sobre fazer parte de um time que impacta milhões de pessoas, contribui para o desenvolvimento do país e constrói, todos os dias, um futuro mais acessível e sustentável para a sociedade.","·       Formação superior completa em áreas quantitativas (Estatística, Matemática, Engenharia, Ciência de Dados, Economia ou correlatas);  

·       Domínio de modelagem estatística e machine learning; 

·       Atuação com Python e SQL; 

·       Conhecimento em data quality, data wrangling e modelagem de dados; 

·       Vivência em desenvolvimento de modelos analíticos; 

·       Atuação prévia com ambientes cloud (preferencialmente Microsoft Azure e Databricks). ",junior,Ciencia de Dados,nao,80,https://bradesco.csod.com/ux/ats/careersite/1/home/requisition/86911?c=bradesco,05/07/2026,Ciencia de Dados,738,121,Alto (>=60)
